"ServerName","Drive","DriveName","DriveModel","DriveSize","DriveFree","BackupStatus","BackupDate","BackupServer"
"MEHIMAGENET6","H:","Archive11","DataCore Virtual Disk  Multi-Path Disk Device","2564394315776","178424004608","False","",""
"MEHIMAGENET6","I:","Archive12","DataCore Virtual Disk  Multi-Path Disk Device","4397909143552","1137252589568","False","",""
"MEHIMAGENET6","J:","SAN Disk (OCT2000)","DataCore Virtual Disk  Multi-Path Disk Device","15393025957888","3095454576640","False","",""
"MEHIMAGENET6","J:","SAN Disk (OCT2000)","DataCore Virtual Disk  Multi-Path Disk Device","15393025957888","3095454576640","False","",""
"MEHIMAGENET6","J:","SAN Disk (OCT2000)","DataCore Virtual Disk  Multi-Path Disk Device","15393025957888","3095454576640","False","",""
"MEHIMAGENET6","J:","SAN Disk (OCT2000)","DataCore Virtual Disk  Multi-Path Disk Device","15393025957888","3095454576640","False","",""
"MEHIMAGENET6","J:","SAN Disk (OCT2000)","DataCore Virtual Disk  Multi-Path Disk Device","15393025957888","3095454576640","False","",""
"MEHIMAGENET6","K:","Archive7","DataCore Virtual Disk  Multi-Path Disk Device","3559048343552","287933198336","False","",""
"MEHIMAGENET6","L:","Archive8","DataCore Virtual Disk  Multi-Path Disk Device","3978478743552","5847842816","False","",""
"MEHIMAGENET6","M:","Archive9","DataCore Virtual Disk  Multi-Path Disk Device","4187455746048","258197692416","False","",""
"MEHIMAGENET6","N:","Archive13","DataCore Virtual Disk  Multi-Path Disk Device","3298398564352","34344845312","False","",""
"MEHIMAGENET6","Q:","FastTempCache","DataCore Virtual Disk  Multi-Path Disk Device","4188193943552","421196500992","False","",""
"MEHIMAGENET6","V:","Archive6","DataCore Virtual Disk  Multi-Path Disk Device","6962440826880","407091441664","False","",""
"MEHIMAGENET6","X:","Archive10","DataCore Virtual Disk  Multi-Path Disk Device","2564394315776","149829279744","False","",""
"MEHIMAGENET","F:","SAN Disk (ImageNet)","DataCore Virtual Disk  Multi-Path Disk Device","12094491074560","150256697344","False","",""
"MEHIMAGENET","F:","SAN Disk (ImageNet)","DataCore Virtual Disk  Multi-Path Disk Device","12094491074560","150256697344","False","",""
"MEHIMAGENET","F:","SAN Disk (ImageNet)","DataCore Virtual Disk  Multi-Path Disk Device","12094491074560","150256697344","False","",""
"MEHIMAGENET","F:","SAN Disk (ImageNet)","DataCore Virtual Disk  Multi-Path Disk Device","12094491074560","150256697344","False","",""
"MEHIMAGENET","F:","SAN Disk (ImageNet)","DataCore Virtual Disk  Multi-Path Disk Device","12094491074560","150256697344","False","",""
"MEHIMAGENET","F:","SAN Disk (ImageNet)","DataCore Virtual Disk  Multi-Path Disk Device","12094491074560","150256697344","False","",""
"MEHICSTA","E:","QNAPSTA","QNAP iSCSI Storage SCSI Disk Device","11780422103040","6832316997632","False","",""
"MEHICSG","Q:","Q3a Data Heyex Archive2","QNAP iSCSI Storage SCSI Disk Device","11544735772672","1021672808448","False","",""
"MEHICSG","R:","Q3b Archive1","QNAP iSCSI Storage SCSI Disk Device","11544735772672","6990061195264","False","",""
"MEHICSG","S:","Q2 Archive1 BK","QNAP iSCSI Storage SCSI Disk Device","11664994856960","7110314545152","False","",""
"MEHICSG","V:","Q1 Data Heyex Archive2 BK","QNAP iSCSI Storage SCSI Disk Device","11874374512640","344360026112","False","",""
"MEHICPB","E:","QNAP DATA","QNAP iSCSI Storage SCSI Disk Device","8894740951040","8407384559616","False","",""
"MEHICNWP","E:","QNAPNWP","QNAP iSCSI Storage SCSI Disk Device","8589798273024","1666628788224","False","",""
"MEHICME","E:","Data","QNAP iSCSI Storage SCSI Disk Device","5368572801024","4340611821568","False","",""
"MEHICEAL","E:","QNAP-EAL","QNAP iSCSI Storage SCSI Disk Device","11859442790400","5601769762816","False","",""
"MEHIC9","E:","QNAP","QNAP iSCSI Storage SCSI Disk Device","11643520020480","5229006962688","False","",""
"MEHHYBRIDMAIL","F:","SAN Data","DataCore Virtual Disk  Multi-Path Disk Device","214612045824","54636130304","False","",""
"MEHHEYEX2-HUB","J:","Data Transfer","DataCore Virtual Disk  Multi-Path Disk Device","2199004377088","2166416072704","False","",""
"MEHHEYEX2-HUB","K:","DB-Backup","DataCore Virtual Disk  Multi-Path Disk Device","1099492749312","978036903936","False","",""
"MEHHEYEX2","E:","Database","DataCore Virtual Disk  Multi-Path Disk Device","1610476417024","1082548940800","False","",""
"MEHHEYEX2","F:","Transaction logs","DataCore Virtual Disk  Multi-Path Disk Device","1099375308800","962315509760","False","",""
"MEHHEYEX2","N:","HX2_DBBACKUP","DataCore Virtual Disk  Multi-Path Disk Device","1610475368448","748552343552","False","",""
"MEHHEYEX2","U:","heyex-migration","DataCore Virtual Disk  Multi-Path Disk Device","28587100995584","1022131916800","False","",""
"MEHHEYEX","E:","SAN-Archive","DataCore Virtual Disk  Multi-Path Disk Device","536867762176","270816329728","False","",""
"MEHFORUM-RW","E:","New Volume","DataCore Virtual Disk SCSI Disk Device","2199004377088","1389480980480","False","",""
"MEHFORUM-GW","E:","san disk","DataCore Virtual Disk  Multi-Path Disk Device","2199004377088","1233636392960","False","",""
"MEHFORUM-DEV","F:","San Disk","DataCore Virtual Disk  Multi-Path Disk Device","268299137024","260430372864","False","",""
"MEHDPM-03","D:","d6aa62c292bb449abd01f46b81d32118","DataCore Virtual Disk  Multi-Path Disk Device","16492607307776","5518829621248","False","",""
"MEHDPM-03","E:","7c3cc997505f4f53b0ac1dd44cf9e3e8","DataCore Virtual Disk  Multi-Path Disk Device","14293584052224","1755789742080","False","",""
"MEHDPM-03","F:","2c66694f81be4186b285e8369d9b12bd","DataCore Virtual Disk  Multi-Path Disk Device","10995049168896","729310912512","False","",""
"MEHDPM-03","G:","d248e7f59e1a4920af10785955b0b21e","DataCore Virtual Disk  Multi-Path Disk Device","10995049168896","1230648635392","False","",""
"MEHDPM-03","H:","37c8cd9e8a5b4d41a22dc287e2cf1eda","DataCore Virtual Disk  Multi-Path Disk Device","10995049168896","2366431199232","False","",""
"MEHDPM-03","I:","e3b7f6a21f654c1a81406bff67aafd45","DataCore Virtual Disk  Multi-Path Disk Device","10995049168896","1639161126912","False","",""
"MEHDPM-03","J:","a791c9b5d7034f48ad07a8a6d7fa6b8b","DataCore Virtual Disk  Multi-Path Disk Device","24189188702208","3187149135872","False","",""
"MEHDPM-03","K:","9392b1ad439a45af820c16c188e0da21","DataCore Virtual Disk  Multi-Path Disk Device","27487723585536","7248828542976","False","",""
"MEHDPM-03","L:","57706b05f6774e88b1a044610a869c75","DataCore Virtual Disk  Multi-Path Disk Device","16492607307776","4558042959872","False","",""
"MEHDPM-02","D:","65c7f50372554f28b34d1cde9595a5a3","DataCore Virtual Disk  Multi-Path Disk Device","12094560796672","2639831375872","False","",""
"MEHDPM-02","E:","bdc14a15f0804927a7beba762d06a81a","DataCore Virtual Disk  Multi-Path Disk Device","10995049168896","2847602929664","False","",""
"MEHDPM-02","F:","e4b431a967224c5da5888dd908980de5","DataCore Virtual Disk  Multi-Path Disk Device","10995049168896","2353728405504","False","",""
"MEHDPM-02","G:","3b18be7793124b6293d29e1a42387737","DataCore Virtual Disk  Multi-Path Disk Device","12094560796672","486903140352","False","",""
"MEHDPM-02","H:","dadf9c1a94c7426996a8ed4a61a1d109","DataCore Virtual Disk  Multi-Path Disk Device","10995049168896","2647633846272","False","",""
"MEHDPM-02","J:","f6ed34abcd9d4db991de77a91b65d263","DataCore Virtual Disk  Multi-Path Disk Device","12094560796672","1871465553920","False","",""
"MEHDPM-02","K:","6794cc71674a4193b16f5c4f8f55c89b","DataCore Virtual Disk  Multi-Path Disk Device","10995049168896","1267767992320","False","",""
