"server","Login","Last Login Time"
"THREEDOCT\THREEDOCT","CITY_ROAD\SQLClusterAgent","29/05/2020 02:00:00"
"THREEDOCT\THREEDOCT","NT AUTHORITY\SYSTEM","28/05/2020 14:21:41"
"THREEDOCT\THREEDOCT","NT SERVICE\SQLTELEMETRY$THREEDOCT","03/06/2020 09:47:48"
"THREEDOCT\THREEDOCT","sa","03/06/2020 09:48:25"
"VECTRA\VECTRA","CITY_ROAD\ADMINSG","03/06/2020 09:48:56"
"VECTRA\VECTRA","CITY_ROAD\SQLClusterAgent","29/05/2020 02:00:00"
"VECTRA\VECTRA","NT AUTHORITY\SYSTEM","28/05/2020 14:22:46"
"VECTRA\VECTRA","NT SERVICE\SQLTELEMETRY$VECTRA","03/06/2020 09:44:17"
"VECTRA\VECTRA","sa","03/06/2020 09:46:04"
"UNIFLOW\UNIFLOW","CITY_ROAD\ADMINSG","03/06/2020 09:48:56"
"UNIFLOW\UNIFLOW","CITY_ROAD\SQLClusterAgent","28/05/2020 23:00:00"
"UNIFLOW\UNIFLOW","NT AUTHORITY\SYSTEM","28/05/2020 14:20:02"
"UNIFLOW\UNIFLOW","NT SERVICE\SQLTELEMETRY$UNIFLOW","03/06/2020 09:46:28"
"UNIFLOW\UNIFLOW","PbaIp","03/06/2020 09:46:41"
"UNIFLOW\UNIFLOW","sa","03/06/2020 09:42:01"
"UNIFLOW\UNIFLOW","uFReader","02/06/2020 13:05:12"
"TFS\TFS","CITY_ROAD\ADMINSG","03/06/2020 09:48:56"
"TFS\TFS","CITY_ROAD\GILLS","30/05/2020 09:04:09"
"TFS\TFS","CITY_ROAD\SQLClusterAgent","31/05/2020 02:00:01"
"TFS\TFS","NT AUTHORITY\SYSTEM","30/05/2020 09:01:53"
"TFS\TFS","NT SERVICE\SQLTELEMETRY$TFS","03/06/2020 09:47:21"
"TFS\TFS","sa","03/06/2020 09:48:31"
"SP2\SP2","CITY_ROAD\ADMINSG","03/06/2020 09:48:56"
"SP2\SP2","CITY_ROAD\SQLClusterAgent","29/05/2020 02:00:00"
"SP2\SP2","NT AUTHORITY\SYSTEM","28/05/2020 14:23:20"
"SP2\SP2","NT SERVICE\SQLTELEMETRY$SP2","03/06/2020 09:45:30"
"SP2\SP2","sa","03/06/2020 09:46:50"
"SP\SP","CITY_ROAD\ADMINSG","03/06/2020 09:48:56"
"SP\SP","CITY_ROAD\MehSPSA","03/06/2020 09:48:56"
"SP\SP","CITY_ROAD\SQLClusterAgent","31/05/2020 02:00:01"
"SP\SP","NT AUTHORITY\SYSTEM","30/05/2020 09:01:03"
"SP\SP","NT SERVICE\SQLTELEMETRY$SP","03/06/2020 09:48:47"
"SP\SP","sa","03/06/2020 09:46:53"
"TAS\TAS","CITY_ROAD\ADMINSG","03/06/2020 09:48:56"
"TAS\TAS","CITY_ROAD\SQLClusterAgent","28/05/2020 21:00:00"
"TAS\TAS","NT AUTHORITY\SYSTEM","28/05/2020 14:22:47"
"TAS\TAS","NT SERVICE\SQLTELEMETRY$TAS","03/06/2020 09:44:55"
"TAS\TAS","Odyssey","03/06/2020 09:46:03"
"TAS\TAS","sa","03/06/2020 09:46:06"
"SYNBIO\SYNBIO","CITY_ROAD\ADMINSG","03/06/2020 09:48:56"
"SYNBIO\SYNBIO","CITY_ROAD\SQLClusterAgent","28/05/2020 14:30:00"
"SYNBIO\SYNBIO","NT AUTHORITY\SYSTEM","28/05/2020 14:22:48"
"SYNBIO\SYNBIO","NT SERVICE\SQLTELEMETRY$SYNBIO","03/06/2020 09:44:36"
"SYNBIO\SYNBIO","sa","03/06/2020 09:45:47"
"EDDREVIEWER\EDDREVIEWER","CITY_ROAD\ADMINSG","03/06/2020 09:48:56"
"EDDREVIEWER\EDDREVIEWER","CITY_ROAD\SQLClusterAgent","29/05/2020 02:00:00"
"EDDREVIEWER\EDDREVIEWER","NT AUTHORITY\SYSTEM","28/05/2020 14:00:19"
"EDDREVIEWER\EDDREVIEWER","NT SERVICE\SQLTELEMETRY$EDDREVIEWER","03/06/2020 09:45:33"
"EDDREVIEWER\EDDREVIEWER","sa","03/06/2020 09:48:11"
"DW2\DW2_MEHQV","CITY_ROAD\ADMINSG","03/06/2020 09:48:56"
"DW2\DW2_MEHQV","CITY_ROAD\BurnsC","03/06/2020 09:22:40"
"DW2\DW2_MEHQV","CITY_ROAD\ChinnS","03/06/2020 09:46:17"
"DW2\DW2_MEHQV","CITY_ROAD\FASOLOS","03/06/2020 09:47:53"
"DW2\DW2_MEHQV","CITY_ROAD\gills","30/05/2020 06:46:17"
"DW2\DW2_MEHQV","CITY_ROAD\ISLAMM7","03/06/2020 08:43:50"
"DW2\DW2_MEHQV","CITY_ROAD\Jaselskya","03/06/2020 09:42:50"
"DW2\DW2_MEHQV","CITY_ROAD\KATZM","03/06/2020 09:30:17"
"DW2\DW2_MEHQV","CITY_ROAD\PRESTONE","03/06/2020 09:25:52"
"DW2\DW2_MEHQV","CITY_ROAD\RutkowskaC","03/06/2020 09:38:08"
"DW2\DW2_MEHQV","CITY_ROAD\sqlserveragent","30/05/2020 06:40:00"
"DW2\DW2_MEHQV","CITY_ROAD\WHITINGC","03/06/2020 08:14:52"
"DW2\DW2_MEHQV","NT AUTHORITY\SYSTEM","30/05/2020 06:37:16"
"DW2\DW2_MEHQV","NT SERVICE\SQLTELEMETRY$DW2_MEHQV","03/06/2020 09:48:22"
