"ComputerName","Log","EventID","Datetime","User","Message"
"MEHRDS-66","Application","1000","15/03/2023 19:13:29","","Faulting application name: MCAshvinsWorkstation.exe, version: 1.2.1950.0, time stamp: 0x605db654
Faulting module name: KERNELBASE.dll, version: 10.0.14393.5582, time stamp: 0x638823de
Exception code: 0xe0434352
Fault offset: 0x000dcd42
Faulting process id: 0xaec8
Faulting application start time: 0x01d9574a19d0a27b
Faulting application path: C:\Heyex\MCAshvinsWorkstation.exe
Faulting module path: C:\WINDOWS\System32\KERNELBASE.dll
Report Id: 603d00c6-0b2d-4435-ab19-2625384a077b
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-15","Application","1000","15/03/2023 19:08:45","","Faulting application name: SdoctApp.exe, version: 11.5.1.47041, time stamp: 0x5dc3a201
Faulting module name: clr.dll, version: 4.8.4614.0, time stamp: 0x63995bc5
Exception code: 0xc00000fd
Fault offset: 0x000000000002f863
Faulting process id: 0x4c3c
Faulting application start time: 0x01d9575d2e7971e9
Faulting application path: C:\Program Files\CZM\Cirrus HD-OCT\Bin\SdoctApp.exe
Faulting module path: C:\Windows\Microsoft.NET\Framework64\v4.0.30319\clr.dll
Report Id: 5e5c8591-c8a9-49a2-8799-e8d17faf5d9a
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-46","Application","1000","15/03/2023 18:57:20","","Faulting application name: EXCEL.EXE, version: 14.0.7268.5000, time stamp: 0x60500f43
Faulting module name: EXCEL.EXE, version: 14.0.7268.5000, time stamp: 0x60500f43
Exception code: 0xc0000005
Fault offset: 0x00131652
Faulting process id: 0xc86c
Faulting application start time: 0x01d95764f8b2f02a
Faulting application path: C:\Program Files (x86)\Microsoft Office\Office14\EXCEL.EXE
Faulting module path: C:\Program Files (x86)\Microsoft Office\Office14\EXCEL.EXE
Report Id: 3650a8f8-c363-11ed-b8ee-001dd8b71d00
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-30","Application","3001","15/03/2023 18:56:09","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9571a49807397."
"MEHRDS-18","Application","3001","15/03/2023 18:47:25","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d95759bc951e79."
"MEHRDS-37","Application","3001","15/03/2023 18:45:20","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d95750c65af4cc."
"MEHRDS-21","Application","1000","15/03/2023 18:38:14","","Faulting application name: SdoctApp.exe, version: 11.5.1.47041, time stamp: 0x5dc3a201
Faulting module name: clr.dll, version: 4.8.4614.0, time stamp: 0x63995bc5
Exception code: 0xc00000fd
Fault offset: 0x000000000002ee62
Faulting process id: 0x2ac8
Faulting application start time: 0x01d957407f7ed6fc
Faulting application path: C:\Program Files\CZM\Cirrus HD-OCT\Bin\SdoctApp.exe
Faulting module path: C:\Windows\Microsoft.NET\Framework64\v4.0.30319\clr.dll
Report Id: d73dc0a7-936a-4559-b911-f9d3c2cf6ef9
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-42","Application","3001","15/03/2023 18:27:24","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9574363dfd063."
"MEHRDS-14","Application","1000","15/03/2023 18:24:25","","Faulting application name: runw.exe, version: 6000.0.0.69, time stamp: 0x5ececbb1
Faulting module name: combase.dll, version: 10.0.14393.5717, time stamp: 0x63ddda30
Exception code: 0xc0000005
Fault offset: 0x000f321f
Faulting process id: 0x5840
Faulting application start time: 0x01d9575fa4f6af85
Faulting application path: C:\Program Files (x86)\Micro Focus\COBOL Server\bin\runw.exe
Faulting module path: C:\WINDOWS\System32\combase.dll
Report Id: e2f9009c-a44a-4a4f-b7e8-6c30ee7ecfd2
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-69","Application","3001","15/03/2023 18:23:36","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d95762b3a17453."
"MEHRDS-39","Application","3001","15/03/2023 18:17:35","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9573fe2062d31."
"MEHRDS-74","Application","1000","15/03/2023 18:17:21","","Faulting application name: SdoctApp.exe, version: 11.5.1.47041, time stamp: 0x5dc3a201
Faulting module name: clr.dll, version: 4.8.4614.0, time stamp: 0x63995bc5
Exception code: 0xc00000fd
Fault offset: 0x000000000002f863
Faulting process id: 0xcde0
Faulting application start time: 0x01d9574f164a5a9f
Faulting application path: C:\Program Files\CZM\Cirrus HD-OCT\Bin\SdoctApp.exe
Faulting module path: C:\Windows\Microsoft.NET\Framework64\v4.0.30319\clr.dll
Report Id: 647fdc65-e8cb-4029-bbbb-2b10e7d6d8e3
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-19","Application","1000","15/03/2023 18:17:13","","Faulting application name: MCAshvinsWorkstation.exe, version: 1.2.1950.0, time stamp: 0x605db654
Faulting module name: hraviewer.vwm, version: 6.16.9.0, time stamp: 0x605da5a8
Exception code: 0xc000041d
Fault offset: 0x0004cdf5
Faulting process id: 0x41ac
Faulting application start time: 0x01d95749aa6a99e6
Faulting application path: C:\Heyex\MCAshvinsWorkstation.exe
Faulting module path: C:\Heyex\plugins\hraviewer.vwm
Report Id: ab8a0dbf-213e-4133-a707-eff1366f1d94
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-19","Application","1000","15/03/2023 18:17:08","","Faulting application name: MCAshvinsWorkstation.exe, version: 1.2.1950.0, time stamp: 0x605db654
Faulting module name: hraviewer.vwm, version: 6.16.9.0, time stamp: 0x605da5a8
Exception code: 0xc0000005
Fault offset: 0x0004cdf5
Faulting process id: 0x41ac
Faulting application start time: 0x01d95749aa6a99e6
Faulting application path: C:\Heyex\MCAshvinsWorkstation.exe
Faulting module path: C:\Heyex\plugins\hraviewer.vwm
Report Id: e9ffdbe1-d1ca-456b-9906-145803f9e5d9
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-26","Application","1000","15/03/2023 18:11:51","","Faulting application name: POWERPNT.EXE, version: 14.0.7162.5000, time stamp: 0x561e73e5
Faulting module name: ppcore.dll, version: 14.0.7266.5000, time stamp: 0x602c2dfe
Exception code: 0xc0000005
Fault offset: 0x00013ce1
Faulting process id: 0x8604
Faulting application start time: 0x01d95753bb673bcd
Faulting application path: C:\Program Files (x86)\Microsoft Office\Office14\POWERPNT.EXE
Faulting module path: C:\Program Files (x86)\Microsoft Office\Office14\ppcore.dll
Report Id: 18f8d91b-d8d8-4d65-a44a-8b76956d391d
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-68","Application","1000","15/03/2023 18:11:24","","Faulting application name: Acuity.exe, version: 2.0.70.19, time stamp: 0x2a425e19
Faulting module name: ntdll.dll, version: 10.0.14393.5427, time stamp: 0x63368a30
Exception code: 0xc0000005
Fault offset: 0x000587a9
Faulting process id: 0x90dc
Faulting application start time: 0x01d957693e3d3d92
Faulting application path: C:\acuity\Client\Acuity.exe
Faulting module path: C:\Windows\SYSTEM32\ntdll.dll
Report Id: 35c2979a-dc9c-472f-aec0-7076f0a8f154
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-71","Application","3001","15/03/2023 18:08:42","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d95721d4147911."
"MEHRDS-02","Application","1000","15/03/2023 18:07:20","","Faulting application name: EXCEL.EXE, version: 14.0.7268.5000, time stamp: 0x60500f43
Faulting module name: EXCEL.EXE, version: 14.0.7268.5000, time stamp: 0x60500f43
Exception code: 0xc0000005
Fault offset: 0x0077f77c
Faulting process id: 0x775c
Faulting application start time: 0x01d957201c8b1956
Faulting application path: C:\Program Files (x86)\Microsoft Office\Office14\EXCEL.EXE
Faulting module path: C:\Program Files (x86)\Microsoft Office\Office14\EXCEL.EXE
Report Id: cc86ecb3-833f-456a-8e56-72b3b7c0d4f9
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-68","Application","1000","15/03/2023 18:03:51","","Faulting application name: Acuity.exe, version: 2.0.70.19, time stamp: 0x2a425e19
Faulting module name: ntdll.dll, version: 10.0.14393.5427, time stamp: 0x63368a30
Exception code: 0xc0000005
Fault offset: 0x000587a9
Faulting process id: 0x72e0
Faulting application start time: 0x01d9571d30a05825
Faulting application path: C:\acuity\Client\Acuity.exe
Faulting module path: C:\Windows\SYSTEM32\ntdll.dll
Report Id: e13ecccc-2697-426a-9a1c-048e49435d9b
Faulting package full name: 
Faulting package-relative application ID: "
