"SwitchName","Port","Frametx","Framerx","encin","crcerr","crcg_eofc","tooshrt","toolong","badeof","encout","discc3","linkfail","losssync","losssig","frjt","fbsy","c3timeouttx","c3timeoutrx","pcserr","uncorerr"
"MO-RDLG-SN6600B-01","24","294","366","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","25","4.0g","3.4g","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","26","3.6g","191.9m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","27","136.8m","272.2m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","32","1.5g","2.1g","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","33","1.2g","3.2g","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","42","716.8m","2.3g","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","43","1.2g","2.7g","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","47","1.7g","2.4g","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","1","301","381","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","2","358.5m","2.3g","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","3","1.8g","2.8g","0","0","0","0","0","0","0","0","7","0","7","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","8","1.4g","1.2g","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","9","88.7m","1.0g","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","10","1.5g","1.0g","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","11","9.6k","9.9k","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","16","1.2g","1.1g","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","17","15.5k","15.7k","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","34","3.9g","794.1m","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","43","2.4g","1.5g","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","47","1.8g","3.5g","0","0","0","0","0","0","0","121","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","1","449.9m","717.7m","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","2","2.6g","498.6m","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","3","2.6g","321.3m","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","8","55.4m","268.7m","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","9","3.1g","152.9m","0","0","0","0","0","0","7","25","2","0","2","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","10","2.4g","141.1m","0","0","0","0","0","0","4","24","1","0","1","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","11","9.7k","9.9k","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","16","1.8g","2.9g","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","17","2.1g","2.8g","0","0","0","0","0","0","0","0","7","0","7","0","0","0","0","3.0k","0"
"MO-RDLG-SN6600B-03","18","1.2g","1.5g","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","19","1.4g","1.2g","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","25","1.2g","1.1g","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","26","12.6k","12.8k","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","27","1.8g","2.9g","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","32","3.9m","3.5m","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","510","0"
"MO-RDLG-SN6600B-03","33","96.9m","256.9m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","34","1.5g","360.1m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","35","1.4g","2.1g","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","43","3.8g","2.2g","0","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","46","2.3g","717.5m","0","0","0","0","0","0","0","82","0","0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","47","2.1g","3.7g","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0"
