#TYPE System.Management.Automation.PSCustomObject
"SwitchName","Port","physical-state","Speed","NeighbourWWN","AliasName","link-failures","crc-errors","class-3-discards","class3-out-discards","class3-in-discards","in-link-resets","out-link-resets"
"MO-ESG-SN6600B-03","0/47","online","16000000000","20:2f:88:94:71:c9:bd:74",,"0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","0/0","online","16000000000","20:70:00:c0:ff:52:04:dc","Nytro1-A0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","0/1","online","16000000000","24:70:00:c0:ff:f0:ad:24","Exos1-B0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","0/2","online","16000000000","20:70:00:c0:ff:f0:ad:24","Exos1-A0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","0/3","online","16000000000","10:00:04:09:73:bf:e5:71","MEHVM18-1","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","0/8","online","16000000000","51:40:2e:c0:15:55:96:a4","MEHVMC11-1","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","0/17","online","16000000000","51:40:2e:c0:15:55:96:b0","MEHVMB-01-2","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","0/19","online","16000000000","26:70:00:c0:ff:f0:ad:24","Exos1-B2","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","0/24","online","8000000000","50:00:40:24:01:e7:c9:62","SATAB1_10","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","0/25","online","16000000000","24:70:00:c0:ff:52:04:dc","Nytro1-B0","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","0/26","online","8000000000","50:00:40:20:01:e7:c9:62","SATAB1_00","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","0/27","online","8000000000","21:00:00:1b:32:9c:e6:e3","MEHSAN3-FE1","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","0/32","online","8000000000","21:00:00:1b:32:9c:09:79","MEHSAN3-MR1","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","0/33","online","8000000000","21:01:00:1b:32:bc:09:79","MEHSAN3-BE1","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","0/42","online","16000000000","20:2e:88:94:71:c9:bd:74",,"0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","0/43","online","16000000000","20:2b:88:94:71:bd:50:e0","ESG-01-43","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-01","0/47","online","16000000000","20:2b:88:94:71:c8:dc:58",,"0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","0/0","online","16000000000","22:70:00:c0:ff:52:04:dc","Nytro1-A2","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","0/1","online","16000000000","22:70:00:c0:ff:f0:ad:24","Exos1-A2","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","0/2","online","16000000000","26:70:00:c0:ff:52:04:dc","Nytro1-B2","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","0/3","online","16000000000","51:40:2e:c0:12:cb:00:b6","MEHDPM-02-2","4","0","0","0","0","4","4"
"MO-RDLG-SN6600B-02","0/8","online","16000000000","51:40:2e:c0:15:55:95:4c","MEHVMC13-1","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","0/9","online","16000000000","51:40:2e:c0:12:cb:02:1a","MEHDPM-01-2","1","0","0","0","0","1","1"
"MO-RDLG-SN6600B-02","0/10","online","16000000000","51:40:2e:c0:15:55:96:a6","MEHVMC11-2","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","0/11","online","16000000000","51:40:2e:c0:15:56:69:26",,"0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","0/16","online","16000000000","51:40:2e:c0:15:55:96:f8","MEHVMC17-1","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","0/17","online","16000000000","51:40:2e:c0:15:55:96:b2","MEHVMB-01-1","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","0/34","online","16000000000","51:40:2e:c0:12:ca:e0:6c","MEHDPM-03-1","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","0/43","online","16000000000","20:2f:88:94:71:bd:2e:d0",,"0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-02","0/47","online","16000000000","20:2b:88:94:71:c9:bd:74",,"0","0","9","0","0","0","0"
"MO-RDLG-SN6600B-03","0/1","online","8000000000","50:00:e1:11:c2:2e:50:c0","LTO6-2","1","0","0","0","0","1","1"
"MO-RDLG-SN6600B-03","0/2","online","8000000000","50:00:e1:11:c2:2e:50:de","LTO6-5","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","0/3","online","8000000000","50:00:e1:11:c2:2e:50:e8","LTO6-6","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","0/8","online","8000000000","50:00:e1:11:c2:2e:50:b6","LTO6-1","1","0","3","0","0","1","1"
"MO-RDLG-SN6600B-03","0/9","online","8000000000","50:00:e1:11:c2:2e:50:d4","LTO6-4","0","0","12","0","0","0","0"
"MO-RDLG-SN6600B-03","0/10","online","8000000000","50:00:e1:11:c2:2e:50:ca","LTO6-3","2","0","12","0","0","2","2"
"MO-RDLG-SN6600B-03","0/11","online","16000000000","51:40:2e:c0:15:56:69:24",,"0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","0/16","online","16000000000","51:40:2e:c0:15:55:96:2e","MEHVMC15-2","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","0/17","online","16000000000","51:40:2e:c0:12:cb:00:b4","MEHDPM-02-1","4","0","0","0","0","4","4"
"MO-RDLG-SN6600B-03","0/18","online","16000000000","51:40:2e:c0:12:cb:02:18","MEHDPM-01-1","1","0","0","0","0","1","1"
"MO-RDLG-SN6600B-03","0/19","online","16000000000","51:40:2e:c0:15:55:95:4e","MEHVMC13-2","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","0/25","online","16000000000","51:40:2e:c0:15:55:96:fa","MEHVMC17-2","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","0/26","online","16000000000","10:00:04:09:73:bf:e5:72","MEHVM18-2","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","0/27","online","16000000000","51:40:2e:c0:15:55:96:2c","MEHVMC15-1","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","0/32","online","16000000000","51:40:2e:c0:12:ca:e0:6e","MEHDPM-03-2","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","0/33","online","8000000000","21:01:00:1b:32:bc:e6:e3","MEHSAN3-FE2","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","0/34","online","8000000000","21:00:00:24:ff:2f:8f:e1","MEHSAN3-BE2","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","0/35","online","8000000000","21:00:00:24:ff:2f:8f:e0","MEHSAN3-MR2","0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","0/43","online","16000000000","20:2f:88:94:71:c8:dc:58",,"0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","0/46","online","16000000000","20:2a:88:94:71:bd:2e:d0",,"0","0","0","0","0","0","0"
"MO-RDLG-SN6600B-03","0/47","online","16000000000","20:2f:88:94:71:c8:c6:74",,"0","0","0","0","0","0","0"
