#TYPE System.Management.Automation.PSCustomObject
"policyid","q_origin_key","name","uuid","srcintf","dstintf","srcaddr","dstaddr","internet-service","internet-service-id","internet-service-group","internet-service-custom","internet-service-custom-group","internet-service-src","internet-service-src-id","internet-service-src-group","internet-service-src-custom","internet-service-src-custom-group","reputation-minimum","reputation-direction","rtp-nat","rtp-addr","action","send-deny-packet","firewall-session-dirty","status","schedule","schedule-timeout","service","tos","tos-mask","tos-negate","anti-replay","tcp-session-without-syn","geoip-anycast","utm-status","inspection-mode","http-policy-redirect","ssh-policy-redirect","webproxy-profile","profile-type","profile-group","profile-protocol-options","ssl-ssh-profile","av-profile","webfilter-profile","dnsfilter-profile","emailfilter-profile","dlp-sensor","ips-sensor","application-list","voip-profile","icap-profile","cifs-profile","waf-profile","ssh-filter-profile","logtraffic","logtraffic-start","capture-packet","auto-asic-offload","np-acceleration","wanopt","wanopt-detection","wanopt-passive-opt","wanopt-profile","wanopt-peer","webcache","webcache-https","webproxy-forward-server","traffic-shaper","traffic-shaper-reverse","per-ip-shaper","application","app-category","url-category","app-group","nat","permit-any-host","permit-stun-host","fixedport","ippool","poolname","session-ttl","vlan-cos-fwd","vlan-cos-rev","inbound","outbound","natinbound","natoutbound","wccp","ntlm","ntlm-guest","ntlm-enabled-browsers","fsso","wsso","rsso","fsso-agent-for-ntlm","groups","users","fsso-groups","auth-path","disclaimer","email-collect","vpntunnel","natip","match-vip","match-vip-only","diffserv-forward","diffserv-reverse","diffservcode-forward","diffservcode-rev","tcp-mss-sender","tcp-mss-receiver","comments","label","global-label","auth-cert","auth-redirect-addr","redirect-url","identity-based-route","block-notification","custom-log-fields","replacemsg-override-group","srcaddr-negate","dstaddr-negate","service-negate","internet-service-negate","internet-service-src-negate","timeout-send-rst","captive-portal-exempt","ssl-mirror","ssl-mirror-intf","dsri","radius-mac-auth-bypass","delay-tcp-npu-session","vlan-filter"
"22","22","","d65d0cc8-2546-51e9-328a-16f00b76912e","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","enable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","utm","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
"23","23","","f13da94e-2546-51e9-60bc-ac892d497025","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","enable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","utm","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
"24","24","","883b1e86-2929-51e9-bb26-1f99437e0096","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","enable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","utm","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
"26","26","","ddd2a628-2af7-51e9-6c1f-ba9b7204056f","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","enable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","utm","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
"27","27","","48996488-2af8-51e9-070d-845911af6a57","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","enable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","utm","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
"83","83","","d1c3ad7c-3692-51e9-4aa9-423cfaf261ec","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","enable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","all","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","Clone of 82","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
"28","28","","489bacd4-2af8-51e9-8489-1ae1a2667a07","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","enable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","all","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
"29","29","","489e0a60-2af8-51e9-f80f-27f4d021cc9a","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","enable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","utm","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
"30","30","","48a069b8-2af8-51e9-9932-fb9070af0e61","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","enable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","utm","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
"31","31","","48a2d7ac-2af8-51e9-05f2-f3dc61f4a370","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","enable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","utm","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
