name,distinguishedname
NB15822,"CN=NB15822,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
M016061,"CN=M016061,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
NB16064,"CN=NB16064,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16066,"CN=NB16066,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB15825,"CN=NB15825,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16110,"CN=NB16110,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
nb16111,"CN=nb16111,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16188,"CN=NB16188,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
M016235,"CN=M016235,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
NB16250,"CN=NB16250,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB12822,"CN=NB12822,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16255,"CN=NB16255,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16228,"CN=NB16228,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16229,"CN=NB16229,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
TABLET16257,"CN=TABLET16257,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16258,"CN=NB16258,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
TABLET16247,"CN=TABLET16247,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16566,"CN=NB16566,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16746,"CN=NB16746,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16747,"CN=NB16747,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16560,"CN=NB16560,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16798,"CN=NB16798,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB14992,"CN=NB14992,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
M015363,"CN=M015363,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
M015577,"CN=M015577,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
NB16811,"CN=NB16811,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16845,"CN=NB16845,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16870,"CN=NB16870,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16871,"CN=NB16871,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16872,"CN=NB16872,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16874,"CN=NB16874,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16877,"CN=NB16877,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16873,"CN=NB16873,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16879,"CN=NB16879,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16881,"CN=NB16881,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16882,"CN=NB16882,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16883,"CN=NB16883,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16885,"CN=NB16885,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16893,"CN=NB16893,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16887,"CN=NB16887,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16889,"CN=NB16889,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16888,"CN=NB16888,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16891,"CN=NB16891,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16890,"CN=NB16890,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16899,"CN=NB16899,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16897,"CN=NB16897,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16895,"CN=NB16895,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16908,"CN=NB16908,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16905,"CN=NB16905,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16906,"CN=NB16906,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16907,"CN=NB16907,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16903,"CN=NB16903,OU=FortiClient-Admin,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16902,"CN=NB16902,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16912,"CN=NB16912,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16909,"CN=NB16909,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16910,"CN=NB16910,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16911,"CN=NB16911,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16916,"CN=NB16916,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16915,"CN=NB16915,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
TABLET16920,"CN=TABLET16920,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16849,"CN=NB16849,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16847,"CN=NB16847,OU=FortiClient-Admin,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
TABLET16922,"CN=TABLET16922,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB12473,"CN=NB12473,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB12814,"CN=NB12814,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NOTEBOOK11562,"CN=NOTEBOOK11562,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17019,"CN=NB17019,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB11404,"CN=NB11404,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17152,"CN=NB17152,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB13267,"CN=NB13267,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB14935,"CN=NB14935,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17154,"CN=NB17154,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17156,"CN=NB17156,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17155,"CN=NB17155,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17150,"CN=NB17150,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB11502,"CN=NB11502,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB15705,"CN=NB15705,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
M017101,"CN=M017101,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
NB15707,"CN=NB15707,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB15706,"CN=NB15706,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17110,"CN=NB17110,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16878,"CN=NB16878,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17109,"CN=NB17109,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17108,"CN=NB17108,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16892,"CN=NB16892,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17122,"CN=NB17122,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB12500,"CN=NB12500,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17296,"CN=NB17296,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16876,"CN=NB16876,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17299,"CN=NB17299,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
M016693,"CN=M016693,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
NB015290,"CN=NB015290,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17330,"CN=NB17330,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB15294,"CN=NB15294,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17333,"CN=NB17333,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17334,"CN=NB17334,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16532,"CN=NB16532,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16536,"CN=NB16536,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16537,"CN=NB16537,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17618,"CN=NB17618,OU=FortiClient-Admin,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17337,"CN=NB17337,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17670,"CN=NB17670,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17335,"CN=NB17335,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17680,"CN=NB17680,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17640,"CN=NB17640,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17681,"CN=NB17681,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17645,"CN=NB17645,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB12163,"CN=NB12163,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17648,"CN=NB17648,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17617,"CN=NB17617,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
M017538,"CN=M017538,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
NB17671,"CN=NB17671,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB16538,"CN=NB16538,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
M017432,"CN=M017432,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
NB12408,"CN=NB12408,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17683,"CN=NB17683,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17684,"CN=NB17684,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17685,"CN=NB17685,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
M017506,"CN=M017506,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
NB12677,"CN=NB12677,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17327,"CN=NB17327,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB14980,"CN=NB14980,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB12821,"CN=NB12821,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
M017596,"CN=M017596,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
M017576,"CN=M017576,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
M017577,"CN=M017577,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17851,"CN=NB17851,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17852,"CN=NB17852,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17854,"CN=NB17854,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NBK17013,"CN=NBK17013,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB11772,"CN=NB11772,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB15890,"CN=NB15890,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB14510,"CN=NB14510,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17847,"CN=NB17847,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17848,"CN=NB17848,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17849,"CN=NB17849,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17886,"CN=NB17886,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17887,"CN=NB17887,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17885,"CN=NB17885,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17884,"CN=NB17884,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17892,"CN=NB17892,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17894,"CN=NB17894,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17895,"CN=NB17895,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17896,"CN=NB17896,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17897,"CN=NB17897,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17902,"CN=NB17902,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17900,"CN=NB17900,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17903,"CN=NB17903,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17914,"CN=NB17914,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17913,"CN=NB17913,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17917,"CN=NB17917,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17987,"CN=NB17987,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17646,"CN=NB17646,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17615,"CN=NB17615,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17614,"CN=NB17614,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17616,"CN=NB17616,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17612,"CN=NB17612,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17610,"CN=NB17610,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17641,"CN=NB17641,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17649,"CN=NB17649,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17611,"CN=NB17611,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17989,"CN=NB17989,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18503,"CN=NB18503,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18504,"CN=NB18504,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18509,"CN=NB18509,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18561,"CN=NB18561,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18560,"CN=NB18560,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17644,"CN=NB17644,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17647,"CN=NB17647,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18565,"CN=NB18565,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB17651,"CN=NB17651,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
TABLET18798,"CN=TABLET18798,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB12859,"CN=NB12859,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18102,"CN=NB18102,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18101,"CN=NB18101,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18103,"CN=NB18103,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18105,"CN=NB18105,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18112,"CN=NB18112,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18113,"CN=NB18113,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18114,"CN=NB18114,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18120,"CN=NB18120,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18109,"CN=NB18109,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18107,"CN=NB18107,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18116,"CN=NB18116,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18117,"CN=NB18117,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18119,"CN=NB18119,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18122,"CN=NB18122,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18124,"CN=NB18124,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18123,"CN=NB18123,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18125,"CN=NB18125,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18128,"CN=NB18128,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18129,"CN=NB18129,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18130,"CN=NB18130,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18132,"CN=NB18132,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18131,"CN=NB18131,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18135,"CN=NB18135,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18136,"CN=NB18136,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18431,"CN=NB18431,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18137,"CN=NB18137,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19400,"CN=NB19400,OU=FortiClient-Test,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19402,"CN=NB19402,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19401,"CN=NB19401,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18433,"CN=NB18433,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18432,"CN=NB18432,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19420,"CN=NB19420,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19423,"CN=NB19423,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB12708,"CN=NB12708,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19422,"CN=NB19422,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18140,"CN=NB18140,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18141,"CN=NB18141,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18434,"CN=NB18434,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18435,"CN=NB18435,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19425,"CN=NB19425,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19426,"CN=NB19426,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19424,"CN=NB19424,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18438,"CN=NB18438,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19407,"CN=NB19407,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19405,"CN=NB19405,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18142,"CN=NB18142,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18439,"CN=NB18439,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19264,"CN=NB19264,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18144,"CN=NB18144,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19266,"CN=NB19266,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19267,"CN=NB19267,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19269,"CN=NB19269,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18145,"CN=NB18145,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19430,"CN=NB19430,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19432,"CN=NB19432,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18146,"CN=NB18146,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19433,"CN=NB19433,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18147,"CN=NB18147,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18148,"CN=NB18148,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19436,"CN=NB19436,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18470,"CN=NB18470,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19437,"CN=NB19437,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18471,"CN=NB18471,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18472,"CN=NB18472,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19440,"CN=NB19440,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19441,"CN=NB19441,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19443,"CN=NB19443,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18444,"CN=NB18444,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB18442,"CN=NB18442,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19438,"CN=NB19438,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB19445,"CN=NB19445,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
