"TimeCreated","User","ServerName","Resource","Action"
"02/12/2021 20:11:16","CITY_ROAD\BANC","MEHGW-02","rds","logoff"
"02/12/2021 20:00:05","CITY_ROAD\SANTANAP","MEHGW-01","rds","logon"
"02/12/2021 20:00:05","CITY_ROAD\SANTANAP","MEHGW-01","rds","logoff"
"02/12/2021 19:59:48","CITY_ROAD\SANTANAP","MEHGW-01","rds","logon"
"02/12/2021 19:59:48","CITY_ROAD\SANTANAP","MEHGW-01","rds","logoff"
"02/12/2021 19:59:39","CITY_ROAD\SANTANAP","MEHGW-01","rds","logon"
"02/12/2021 19:58:05","CITY_ROAD\SANTANAP","MEHGW-01","rds","logoff"
"02/12/2021 19:57:42","CITY_ROAD\SANTANAP","MEHGW-01","rds","logon"
"02/12/2021 19:57:34","CITY_ROAD\LAWRENCES","MEHGW-01","rds","logon"
"02/12/2021 19:57:34","CITY_ROAD\LAWRENCES","MEHGW-01","rds","logoff"
"02/12/2021 19:57:24","CITY_ROAD\SANTANAP","MEHGW-02","rds","logoff"
"02/12/2021 19:57:12","CITY_ROAD\LAWRENCES","MEHGW-01","rds","logon"
"02/12/2021 19:50:47","CITY_ROAD\BANC","MEHGW-02","rds","logon"
"02/12/2021 19:50:47","CITY_ROAD\BANC","MEHGW-02","rds","logoff"
"02/12/2021 19:50:39","CITY_ROAD\BANC","MEHGW-02","rds","logon"
"02/12/2021 19:50:22","CITY_ROAD\FlattN","MEHGW-02","m015526","logon"
"02/12/2021 19:49:54","CITY_ROAD\FlattN","MEHGW-02","m015526","logoff"
"02/12/2021 19:49:53","CITY_ROAD\FlattN","MEHGW-02","m015526","logon"
"02/12/2021 19:49:25","CITY_ROAD\FlattN","MEHGW-02","m015526","logoff"
"02/12/2021 19:49:24","CITY_ROAD\FlattN","MEHGW-02","m015526","logon"
"02/12/2021 19:49:13","CITY_ROAD\FlattN","MEHGW-02","m015526","logoff"
"02/12/2021 19:49:10","CITY_ROAD\FlattN","MEHGW-02","m015526","logon"
"02/12/2021 19:48:47","CITY_ROAD\FlattN","MEHGW-02","m015526","logoff"
"02/12/2021 19:48:25","CITY_ROAD\FlattN","MEHGW-02","m015526","logon"
"02/12/2021 19:46:05","CITY_ROAD\ROBSONA1","MEHGW-02","m017589","logoff"
"02/12/2021 19:42:23","CITY_ROAD\PALB","MEHGW-02","rds","logon"
"02/12/2021 19:42:23","CITY_ROAD\PALB","MEHGW-02","rds","logoff"
"02/12/2021 19:41:30","CITY_ROAD\PALB","MEHGW-02","rds","logon"
"02/12/2021 19:38:27","CITY_ROAD\Martin-GutierrezM","MEHGW-02","rds","logon"
"02/12/2021 19:38:27","CITY_ROAD\Martin-GutierrezM","MEHGW-02","rds","logoff"
"02/12/2021 19:38:19","CITY_ROAD\Martin-GutierrezM","MEHGW-02","rds","logon"
"02/12/2021 19:32:10","CITY_ROAD\VIKASH","MEHGW-02","m016816","logoff"
"02/12/2021 19:30:46","CITY_ROAD\SANTANAP","MEHGW-02","rds","logon"
"02/12/2021 19:30:45","CITY_ROAD\SANTANAP","MEHGW-02","rds","logoff"
"02/12/2021 19:30:20","CITY_ROAD\SANTANAP","MEHGW-02","rds","logon"
"02/12/2021 19:23:29","CITY_ROAD\TOWNSENDS","MEHGW-01","rds.moorfields.nhs.uk","logoff"
"02/12/2021 19:11:14","CITY_ROAD\KATZM","MEHGW-02","M015512","logoff"
"02/12/2021 19:04:01","CITY_ROAD\NussinovitchH","MEHGW-01","rds","logoff"
"02/12/2021 19:03:54","CITY_ROAD\NussinovitchH","MEHGW-01","rds","logon"
"02/12/2021 19:01:01","CITY_ROAD\CollinsP","MEHGW-02","rds","logoff"
"02/12/2021 19:00:17","CITY_ROAD\CollinsP","MEHGW-02","rds","logon"
"02/12/2021 18:57:27","CITY_ROAD\FRANCISD1","MEHGW-01","rds","logoff"
"02/12/2021 18:57:20","CITY_ROAD\FRANCISD1","MEHGW-01","rds","logon"
"02/12/2021 18:57:20","CITY_ROAD\FRANCISD1","MEHGW-01","rds","logoff"
"02/12/2021 18:57:17","CITY_ROAD\FRANCISD1","MEHGW-01","rds","logon"
"02/12/2021 18:56:31","CITY_ROAD\FRANCISD1","MEHGW-01","rds","logoff"
"02/12/2021 18:54:18","CITY_ROAD\FRANCISD1","MEHGW-01","rds","logon"
"02/12/2021 18:54:18","CITY_ROAD\FRANCISD1","MEHGW-01","rds","logoff"
"02/12/2021 18:54:14","CITY_ROAD\FRANCISD1","MEHGW-01","rds","logon"
"02/12/2021 18:52:32","CITY_ROAD\NussinovitchH","MEHGW-01","rds","logon"
"02/12/2021 18:52:30","CITY_ROAD\NussinovitchH","MEHGW-01","rds","logoff"
"02/12/2021 18:52:19","CITY_ROAD\NussinovitchH","MEHGW-01","rds","logon"
"02/12/2021 18:51:58","CITY_ROAD\BOSTONH","MEHGW-01","rds","logoff"
"02/12/2021 18:51:55","CITY_ROAD\FRANCISD1","MEHGW-02","rds","logoff"
"02/12/2021 18:51:34","CITY_ROAD\FRANCISD1","MEHGW-02","rds","logon"
"02/12/2021 18:51:34","CITY_ROAD\FRANCISD1","MEHGW-02","rds","logoff"
