"FolderName","Path","Description","SizeMB","ItemCount","Owner","mail","Enabled","Permission","Comments"
"Powershell - Copy","\\applications2\gills\Powershell - Copy","Powershell - Copy","122.949949264526","321","GILLS",,,"Modify, Synchronize",""
"Powershell - Copy","\\applications2\gills\Powershell - Copy","Powershell - Copy","122.949949264526","321","GILLS",,,"FullControl",""
"Powershell - Copy","\\applications2\gills\Powershell - Copy","Powershell - Copy","122.949949264526","321",,,,"FullControl",""
"RECYCLER","\\applications2\gills\RECYCLER","RECYCLER","0.000019073486328125","1","GILLS",,,"Modify, Synchronize",""
"RECYCLER","\\applications2\gills\RECYCLER","RECYCLER","0.000019073486328125","1",,,,"FullControl",""
"Reference","\\applications2\gills\Reference","Reference","65.9467611312866","169","GILLS",,,"Modify, Synchronize",""
"Reference","\\applications2\gills\Reference","Reference","65.9467611312866","169",,,,"FullControl",""
"Regfiles","\\applications2\gills\Regfiles","Regfiles","1.44778823852539","30","GILLS",,,"Modify, Synchronize",""
"Regfiles","\\applications2\gills\Regfiles","Regfiles","1.44778823852539","30",,,,"FullControl",""
"SetCache","\\applications2\gills\SetCache","SetCache","0.218524932861328","6","GILLS",,,"Modify, Synchronize",""
"SetCache","\\applications2\gills\SetCache","SetCache","0.218524932861328","6",,,,"FullControl",""
"templates","\\applications2\gills\templates","templates","1.12965869903564","9","GILLS",,,"Modify, Synchronize",""
"templates","\\applications2\gills\templates","templates","1.12965869903564","9",,,,"FullControl",""
"VBScripts","\\applications2\gills\VBScripts","VBScripts","0.410301208496094","66","GILLS",,,"Modify, Synchronize",""
"VBScripts","\\applications2\gills\VBScripts","VBScripts","0.410301208496094","66",,,,"FullControl",""
"vsprojects","\\applications2\gills\vsprojects","vsprojects","100.884778022766","2382","GILLS",,,"Modify, Synchronize",""
"vsprojects","\\applications2\gills\vsprojects","vsprojects","100.884778022766","2382",,,,"FullControl",""
